"","user","neighbor"
"1",10010,41161
"2",10010,19733
"3",10010,27586
"4",10010,40061
"5",10010,13990
"6",10010,22873
"7",10010,21472
"8",10010,19332
"9",10010,11723
"10",10010,28056
"11",10010,29179
"12",10010,38214
"13",10010,10457
"14",10010,42698
"15",10010,22151
"16",10010,29118
"17",10010,18283
"18",10010,19251
"19",10010,27386
"20",10010,20596
"21",10019,36522
"22",10019,39763
"23",10019,13672
"24",10019,11431
"25",10019,10077
"26",10019,15681
"27",10019,34210
"28",10019,26326
"29",10019,27365
"30",10019,34985
"31",10019,37986
"32",10019,21208
"33",10019,32520
"34",10019,20026
"35",10019,30614
"36",10019,35358
"37",10019,41942
"38",10019,19984
"39",10019,19529
"40",10019,30421
"41",10021,10572
"42",10021,34593
"43",10021,39014
"44",10021,12922
"45",10021,32570
"46",10021,37474
"47",10021,38993
"48",10021,15518
"49",10021,18280
"50",10021,32343
"51",10021,41670
"52",10021,18842
"53",10021,29319
"54",10021,28315
"55",10021,36725
"56",10021,39168
"57",10021,11780
"58",10021,41143
"59",10021,33772
"60",10021,11555
"61",10031,11453
"62",10031,37157
"63",10031,13849
"64",10031,23123
"65",10031,16916
"66",10031,11143
"67",10031,29739
"68",10031,16143
"69",10031,21029
"70",10031,13381
"71",10031,31995
"72",10031,38870
"73",10031,23461
"74",10031,17456
"75",10031,12539
"76",10031,16011
"77",10031,21005
"78",10031,34600
"79",10031,16245
"80",10031,29719
"81",10035,25608
"82",10035,35802
"83",10035,25871
"84",10035,32147
"85",10035,11599
"86",10035,13099
"87",10035,19130
"88",10035,16910
"89",10035,19481
"90",10035,32712
"91",10035,12022
"92",10035,19142
"93",10035,20064
"94",10035,24026
"95",10035,38437
"96",10035,33953
"97",10035,38346
"98",10035,10070
"99",10035,13074
"100",10035,15294
"101",10036,26990
"102",10036,10301
"103",10036,32147
"104",10036,13426
"105",10036,18973
"106",10036,19839
"107",10036,36372
"108",10036,21156
"109",10036,24774
"110",10036,23663
"111",10036,13725
"112",10036,20101
"113",10036,29719
"114",10036,40162
"115",10036,11049
"116",10036,12863
"117",10036,35669
"118",10036,31131
"119",10036,12371
"120",10036,17456
"121",10038,35463
"122",10038,37395
"123",10038,27365
"124",10038,32300
"125",10038,23251
"126",10038,27121
"127",10038,41467
"128",10038,42204
"129",10038,19876
"130",10038,18445
"131",10038,21580
"132",10038,22096
"133",10038,42089
"134",10038,10635
"135",10038,33203
"136",10038,11601
"137",10038,41737
"138",10038,40962
"139",10038,22234
"140",10038,17294
"141",10039,25344
"142",10039,26160
"143",10039,39874
"144",10039,29358
"145",10039,31390
"146",10039,16379
"147",10039,28141
"148",10039,23059
"149",10039,38264
"150",10039,42010
"151",10039,33557
"152",10039,39137
"153",10039,30157
"154",10039,41420
"155",10039,22488
"156",10039,34995
"157",10039,41875
"158",10039,28021
"159",10039,36286
"160",10039,33027
"161",10065,28946
"162",10065,16239
"163",10065,32470
"164",10065,39349
"165",10065,13949
"166",10065,29502
"167",10065,32114
"168",10065,19921
"169",10065,20247
"170",10065,26518
"171",10065,26685
"172",10065,35674
"173",10065,36049
"174",10065,42373
"175",10065,16469
"176",10065,25721
"177",10065,30280
"178",10065,34590
"179",10065,42010
"180",10065,17465
"181",10068,26399
"182",10068,24475
"183",10068,21264
"184",10068,33341
"185",10068,42467
"186",10068,13071
"187",10068,27168
"188",10068,42286
"189",10068,32400
"190",10068,14407
"191",10068,28169
"192",10068,15776
"193",10068,14830
"194",10068,17173
"195",10068,13512
"196",10068,27852
"197",10068,17174
"198",10068,23271
"199",10068,14962
"200",10068,23717
"201",10070,39763
"202",10070,36356
"203",10070,26326
"204",10070,27365
"205",10070,34985
"206",10070,37986
"207",10070,12253
"208",10070,26617
"209",10070,29154
"210",10070,33065
"211",10070,32970
"212",10070,27013
"213",10070,10479
"214",10070,23001
"215",10070,40904
"216",10070,18346
"217",10070,34948
"218",10070,35615
"219",10070,41393
"220",10070,21317
"221",10077,21208
"222",10077,33845
"223",10077,41233
"224",10077,41942
"225",10077,21636
"226",10077,12319
"227",10077,26636
"228",10077,17465
"229",10077,21317
"230",10077,24214
"231",10077,36422
"232",10077,36171
"233",10077,16800
"234",10077,10991
"235",10077,20591
"236",10077,13672
"237",10077,20543
"238",10077,11431
"239",10077,14793
"240",10077,21912
"241",10085,30076
"242",10085,12274
"243",10085,24996
"244",10085,33046
"245",10085,29915
"246",10085,30039
"247",10085,40839
"248",10085,26592
"249",10085,26496
"250",10085,14422
"251",10085,16551
"252",10085,17321
"253",10085,13618
"254",10085,13696
"255",10085,14436
"256",10085,17198
"257",10085,17568
